"region","total","immediate_relatives","family","employment","diversity","refugee","other","year"
"Africa",118824,51138,13899,5014,21927,26615,231,2017
"Asia",424743,156133,95788,83962,15722,52003,21135,2017
"Europe",84335,42202,6400,20059,11367,4103,204,2017
"North America",413650,215631,100479,16405,571,60617,19947,2017
"Oceania",5071,2714,463,1210,632,36,16,2017
"South America",79076,47783,14801,11162,1347,2582,1401,2017
"Africa",113426,11420,5054,51206,20137,25265,344,2016
"Asia",462299,108734,81288,180168,15503,62895,13711,2016
"Europe",93567,6380,21323,49513,11949,4197,205,2016
"North America",427293,96604,18330,231712,714,62053,17880,2016
"Oceania",5588,458,1276,3132,675,38,9,2016
"South America",79608,14120,10568,49814,827,2934,1345,2016
"Africa",101415,8980,4813,40379,19659,27104,480,2015
"Asia",419297,87568,89533,151189,14562,67603,8842,2015
"Europe",85803,5104,20945,44680,11425,3317,332,2015
"North America",366126,97529,18238,181269,667,51535,16888,2015
"Oceania",5404,515,1186,2926,721,37,19,2015
"South America",72309,14102,9296,44214,878,2346,1473,2015
"Africa",98413,9609,4708,38651,23199,21713,533,2014
"Asia",430508,100893,101045,136195,16355,62068,13952,2014
"Europe",83266,5737,18495,43172,11713,3698,451,2014
"North America",324354,93698,16879,154139,583,43792,15263,2014
"Oceania",5112,522,986,2804,744,30,26,2014
"South America",73715,18355,9435,40867,837,2864,1357,2014
"Africa",98304,9603,5605,43550,18560,20577,409,2013
"Asia",400548,78708,101860,141880,14958,59649,3493,2013
"Europe",86556,5145,21806,44319,10143,4338,805,2013
"North America",315660,96178,18676,160598,468,30854,8886,2013
"Oceania",5277,447,1201,2850,715,40,24,2013
"South America",80945,19247,11833,44314,662,4101,788,2013
"Africa",107241,7804,4763,49730,18187,26312,445,2012
"Asia",429599,86742,91591,150254,13336,82680,4996,2012
"Europe",81671,4156,18065,46925,7469,4096,960,2012
"North America",327771,90663,17202,177796,261,32964,8885,2012
"Oceania",4742,376,1057,2733,481,74,21,2012
"South America",79401,12178,11253,50548,558,4310,554,2012
"Africa",100374,7940,4360,40183,23812,23523,556,2011
"Asia",451593,101067,88880,146914,15573,97031,2128,2011
"Europe",83850,5531,16585,46509,9055,4760,1410,2011
"North America",333902,101373,17945,164968,484,38022,11110,2011
"Oceania",4980,599,798,2956,556,49,22,2011
"South America",86096,18237,10662,50934,605,4868,790,2011
"Africa",101355,5938,5222,43061,23903,22634,597,2010
"Asia",422063,92470,85471,156714,14776,68587,4045,2010
"Europe",88743,4955,20058,47803,9353,4770,1804,2010
"North America",336602,95557,22444,173509,461,34657,9974,2010
"Oceania",5345,581,1090,2980,608,52,34,2010
"South America",87187,14951,13925,51581,642,5362,726,2010
"Africa",127050,5450,5707,45823,24122,45315,633,2009
"Asia",413312,81218,78881,168366,13536,69561,1750,2009
"Europe",105398,4393,23529,55844,8737,10453,2442,2009
"North America",375236,106602,19839,196817,437,42700,8841,2009
"Oceania",5578,404,1075,3357,582,139,21,2009
"South America",102878,13665,14856,64611,414,8926,406,2009
"Africa",105915,6039,6006,37025,18060,38303,482,2008
"Asia",383608,89069,93882,146717,8350,44538,1052,2008
"Europe",119138,5433,28601,51409,13589,18801,1305,2008
"North America",393253,111652,20436,196021,471,51726,12947,2008
"Oceania",5263,635,1184,2709,591,116,28,2008
"South America",98555,14780,16215,53882,661,12643,374,2008
"Africa",94711,5603,5810,37414,19277,26178,429,2007
"Asia",383508,80081,92147,160366,7498,42384,1032,2007
"Europe",120821,5594,22198,59113,12004,19894,2018,2007
"North America",339355,89582,23841,174197,421,33100,18214,2007
"Oceania",6101,743,1073,3261,678,315,31,2007
"South America",106525,13204,16962,59747,2209,14000,403,2007
"Africa",117430,5642,6437,42079,18032,44808,432,2006
"Asia",422333,83972,80635,180339,8314,67011,2062,2006
"Europe",164285,6829,25069,77790,14909,35689,3999,2006
"North America",414096,108254,23098,194885,507,51031,36321,2006
"Oceania",7385,600,1231,4108,721,678,47,2006
"South America",138001,16671,22357,79562,1940,16857,614,2006
"Africa",85102,4387,9900,29039,16268,25143,365,2005
"Asia",400135,82492,131418,142230,6882,32009,5104,2005
"Europe",176569,5881,37238,62704,20076,46588,4082,2005
"North America",345575,104370,35702,142548,558,35709,26688,2005
"Oceania",6546,558,1951,3323,625,55,34,2005
"South America",103143,14492,30032,52827,1793,3312,687,2005
